transaction_ref,account_id,statement_no,opening_balance,date,dc_mark,amount,txn_type,ref,narration
,,,,26/03/2024,C,1250,MSVR,EF00000,Credit from RRB
,,,,17/04/2024,D,725,MSVR,EF00001,Debit MT103 Paid
,,,,06/03/2024,D,6251.13,CHER,EF00002,Debit MT 202 Paid
,,,,21/04/2024,C,4519.12,MSVR,EF00003,Credit from BOA
,,,,10/01/2024,D,3407.68,TRFR,EF00004,Debit MT 202 Paid
,,,,24/03/2024,D,1644.26,DIVR,EF00005,Debit MT103 Paid
,,,,06/02/2024,D,1650.01,CHGR,EF00006,Debit MT 202 Paid
,,,,28/04/2024,D,2343.87,CHGR,EF00007,Debit MT103 Paid
,,,,16/03/2024,C,4150.2,DIVR,EF00008,Credit from RBC
,,,,25/04/2024,D,1537.18,CHER,EF00009,Debit MT 202 Paid
,,,,02/03/2024,C,4212.63,CHER,EF00010,Credit from Wells
,,,,29/04/2024,D,2123.37,TRFR,EF00011,Debit MT202 Paid
,,,,26/01/2024,D,4177.25,CHGR,EF00012,Debit MT103 Paid
,,,,28/01/2024,D,2791.6,TRFR,EF00013,Debit MT103 Paid
,,,,29/01/2024,D,2779.08,CHGR,EF00014,Debit MT103 Paid
,,,,06/01/2024,D,3490.82,CHER,EF00015,Debit MT103 Paid
,,,,24/03/2024,C,3736.22,TRFR,EF00016,Credit from Rabo
